animeid,englishtitle,haveenglishtitle,synopsis
38408,My Hero Academia Season 4,Yes,"After successfully passing his Provisional Hero License exam, Izuku ""Deku"" Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Might, Midoriya lands a position under All Might's former sidekick, Sir Nighteye, now a famous hero in his own right.

As Midoriya's classmates further their own abilities through various internships, up-and-coming villain Kai Chisaki utilizes his terrifying powers to gather favor in the criminal underworld. Known by the moniker Overhaul, Chisaki's ambitions collide with the League of Villains and its leader, Tomura Shigaraki.

Through his work with Sir Nighteye, Midoriya discovers Chisaki's crime syndicate and the villain's hostile relationship with a mysterious young girl named Eri. Fearing for the child's safety, Midoriya and his upperclassman Mirio Toogata must work together to put an end to Chisaki's reign of terror.

[Written by MAL Rewrite]"
38409,Scissor Seven,Yes,"To the casual eye, the amnesiac bounty hunter Wu Liuqi looks quite intimidating. With his deadly telekinetic scissor techniques and his ability to seamlessly transform into anything, one would not expect his modest demeanor. In fact, Wu is quite terrible at his job. Often times the freelancer can be found botching an assassination or targeting the wrong person. While his failures could be due to his subpar skills, it usually boils down to him being a normal kid, with a heart unsuited for his line of work.

Accompanied by his feathered friend Dai Bo, Wu is on a simple quest to regain his memories. Although his inconspicuous day job as a hairdresser and his after-hours occupation are simply a means for him to repay debt, his various ventures seem to intertwine with his pursuit to recover his lost past.

[Written by MAL Rewrite]"
38413,The Fate of Arad,Yes,No synopsis information has been added to this title. Help improve our database by adding a synopsis .
38414,Re:ZERO -Starting Life in Another World- The Frozen Bond,Yes,"Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago. 

Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate?

[Written by MAL Rewrite]"
38419,Tokyo One Piece Tower: The Great Treasure of Tongari Island,Yes,"A  exclusive film. It's a tie-in to a real treasure hunting event in collaboration with Takarush Corp. for a limited time called . During this you’ll decipher the mysteries of ancient documents found by Luffy, Usopp, and Chopper, and then set out to find the nest of the mysterious animal known as Tongari Ton! 

The film itself begins at the end of your treasure hunting adventure at the Tokyo One Piece Tower, where the Straw Hat Crew are tricked into opening a chest in a cave thinking it's where the Tongari Island treasure is. 

(Source: Otakumode)"
38422,Hi Score Girl: Extra Stage,Yes,"Four years after they first met, Haruo Yaguchi , Akira Oono, and Koharu Hidaka remain the best of friends. Tensions start to build up as Akira's teacher, Gouda Moemi, becomes stricter than ever before, and Hidaka develops feelings for Haruo. Though he may not be the most composed and thoughtful person around, he has within him the one thing that started it all: his unconditional love for video games.

[Written by MAL Rewrite]"
38431,,No,"In the wake of Ren Amamiya's apparent suicide, the other members of the Phantom Thieves are heartbroken and without purpose. As Sae Niijima rushes over to Cafe Leblanc, she brings the team a shocking revelation that spurs them to pull off one more spectacular heist. The hardened warriors of the metaverse make one last attempt to prove to the world that they fight for justice, and to bring down their teammate turned traitor, Gorou Akechi. Watch them closely, or they might just steal your heart.

[Written by MAL Rewrite]"
38435,,No,Third season of .
38440,,No,"Shikizakura: where cherry blossoms are in full bloom while trees are colored with autumn leaves. In this special place, where the transient world meets the spirit world, a ritual to save humanity is about to begin...

High school student Kakeru Miwa, by a strange turn of events, winds up being an irregular member of a power suit team tasked with battling Oni. These Oni possess humans and try to cling to the transient world. Only the power suit, Yoroi, which combines ancient secrets with the latest technology, can protect people from Oni. Kakeru decides to become a hero who will battle Oni and protect Ouka Myoujin, the shrine maiden fated with saving the world.

Shikizakura season. Ouka dances as a shrine maiden in autumn leaves and cherry blossoms. Heroic action—where the past and the future, the transient world and the spirit world, thoughts and wishes, all intersect—begins here!

(Source: MAL News)"
38450,The Master of Diabolism Season 2,Yes,"Continuing his masquerade as the deranged lunatic from the Lanling Jin Clan, Wei Wuxian resides in the Cloud Recesses while his former cultivation classmate, Lan Wangji, searches for answers about the demonic severed arm they have in custody. With an overwhelming dark energy emanating from the arm, the two are forced to work together in order to keep it contained. However, the demonic arm is not the only dark force lurking in the region, and as spiritual tensions rise in the mountains of the Gusu Lan Clan, it is up to the two of them to try and restore the natural order.

The story of Wei Wuxian's fall from grace continues as more light is shed on his descent into the path of demonic cultivation. The demonic arm only further strains his mischievous spirit. This is the time for him to prove that he has truly broken free from the forbidden path and is not the maniacal sorcerer that everyone remembers him to be.

[Written by MAL Rewrite]"
38464,The Relative Worlds,Yes,"Shin Hazama has shut his heart ever since the mysterious and sudden death of his mother during his childhood. With his scientist father occupied with research, he can only rely on his childhood friend, Kotori Izumi, the popular and good-natured daughter of his father's employer. At the end of their third year of high school with graduation right around the corner, Shin and Kotori finally begin to move forward together, both in life and in love.

Everything falls apart again when Shin's father also suddenly dies. But before things can settle down, he and Kotori learn the secret behind his parents' sudden deaths when they encounter agents from a high-tech dystopian Japan existing in a parallel universe. Among them is Jin, Shin's ""relative self,"" who is working against the humanoid weapons Miko and Niko. As the lives of relative selves are linked, Jin has two objectives: defend the vulnerable Shin to protect both their lives, and assassinate Kotori to end the ironclad rule of her relative self, Princess Kotoko—his mortal enemy and the killer of his parents. Confronted with this new reality, Shin and Kotori must honestly face their feelings for each other, even if the world as they know it will end tomorrow.

[Written by MAL Rewrite]"
38467,,No,Third season of .
38472,,No,"It is a normal day; everyone from deranged military girl Tanya Degurechaff and 16-year-old isekai protagonist Satou Kazuma to expansionist overlord Ainz Ooal Gown and demon sisters Rem and Ram go on with their daily lives. Suddenly, a conspicuous red button begging to be pressed appears before them. Overcome by curiosity, the otherworldly characters push the button, sending them to an unfamiliar world.

With no way of escaping, the characters must lead a normal school life and make acquaintances with the others. One thing is certain: the classroom full of fan-favorite eccentric personalities never gets boring!

[Written by MAL Rewrite]"
38473,,No,"At Okagi Castle, Yuuki informs his childhood friend An that his family is moving away. Vowing to return when he is older, Yuuki confesses that he would like them to go out when that happens. Unsure if their feelings for each other will remain the same when they next meet, Ann runs off in a panic, only to encounter a portal at the entryway of the castle. Stepping through it, she finds herself 50 years in the future.

In her confusion, An is approached by a boy named Kibou and his friendly robot, Butler-kun. As luck would have it, Kibou's grandmother instructed him to lend a hand to any troubled girls he encounters at the park, so he offers to be her chaperone. As the three explore the city, An notices that despite how much Okagi has changed, the old charm never evaporated from the nostalgic townscape.

[Written by MAL Rewrite]"
38474,Laid-Back Camp Season 2,Yes,"Having spent Christmas camping with her new friends, Rin Shima embarks on a solo-camping trip to see the New Year sunrise by the sea. All goes according to plan until unforeseen weather blocks the roads back home, making a return trip impossible. Rin, who is now stranded for a few days, is invited by Nadeshiko Kagamihara to stay at her grandmother's house. 

What is supposed to be a two-day trip becomes an extended period of sightseeing and new experiences for Rin, and she encounters some new and old faces along the way.  continues the story of Rin, Nadeshiko, and their friends as they further explore the joys of camping.

[Written by MAL Rewrite]"
38475,Laid-Back Camp: The Movie,Yes,"As time marches forward, Rin Shima, Nadeshiko Kagamihara, and their friends have grown into full-fledged adults. Now with careers and responsibilities, they can no longer freely spend their days camping and adventuring. However, Chiaki Oogaki, who currently works for the Yamanashi Tourism Organization, reunites the group as she comes up with an exciting proposal—to build a campground together to revitalize an abandoned patch of land from their homeplace, the Yamanashi Prefecture.

Motivated by this ambitious project, the girls combine their efforts to create an environment where future generations can enjoy unique moments as they once did, all while reminiscing the charms of camping from their high school days.

[Written by MAL Rewrite]"
38476,Room Camp,Yes,"During an Outdoor Activities Club meeting, Nadeshiko Kagamihara, Aoi Inuyama, and Chiaki Oogaki debate what it means to be a real Yamanashi native. Somewhere along the line, Chiaki brings up the Yamanashi Kids' Stamp Rally, which Nadeshiko has never heard of. The rally encourages one to visit famous places in the prefecture and collect stamps; those who complete the rally will win a year's worth of Minobu steamed buns. Enticed by the humongous food prize, Nadeshiko is set on participating.

Follow the Outdoor Activities Club as they travel around the Yamanashi prefecture to collect stamps and explore what the region has to offer!

[Written by MAL Rewrite]"
38480,A Certain Scientific Accelerator,Yes,"Academy City stands at the forefront of scientific and technological progress, best known for their development of espers: those capable of wielding superhuman abilities that alter the rules of reality. The most powerful among them are the Level 5s, and the one known as Accelerator reigns supreme, even after being weakened by a severe brain injury. By his side is the young girl known as Last Order, whom despite his cold demeanor, he holds closely and vows to protect at all costs.

Though Accelerator may be recovering from his injury, the dark side of Academy City never rests, and so he finds himself unwillingly caught up in the midst of a new conflict. When a mysterious young woman approaches Accelerator in pursuit of Last Order, the highest-ranked esper is confronted by a venomous organization that has taken root in Anti-Skill, Academy City's peacekeeping organization. With dangerous forces on the move that threaten to put Last Order and her sisters at risk, the self-proclaimed villain prepares to step into the darkness once again.

[Written by MAL Rewrite]"
38481,A Certain Scientific Railgun T,Yes,"The Daihasei Festival has begun, and that of course means that Tokiwadai Middle School—a prestigious all-girls' middle school—is competing too. Despite the participation of the ""Ace of Tokiwadai,"" Mikoto Misaka, the other students who are participating are still putting their utmost effort into winning, no matter how impossible the feat may seem against her overwhelming might.

However, not all is fun and games. Due to the festival, Academy City opens to the outside world, and various factions have begun plotting ways to infiltrate the city. Misaka appears to be on their radar, and as the festival proceeds, people lurking from the shadows begin to emerge...

 brings back the Tokiwadai Ace and her friends as they dive deeper into the dark side of Academy City. From terrorist attacks to ruthless underground projects, anything is possible in this city.

[Written by MAL Rewrite]"
38483,ORESUKI Are you the only one who loves me?,Yes,"Amatsuyu ""Jouro"" Kisaragi is a completely average second-year high school student who has two dates over one weekend⁠—with the student council president Sakura ""Cosmos"" Akino on Saturday, then with his childhood friend Aoi ""Himawari"" Hinata on Sunday. Sadly for Jouro, both girls proclaim their love for his best friend Taiyou ""Sun-chan"" Ooga, the ace of the baseball team. Accepting each of their requests for advice and guidance, he is now responsible for helping the two girls win the heart of the same guy.

Unbeknownst to his friends, Jouro's friendly and obtuse image is all but a ruse designed to cast himself as the clueless protagonist of a textbook romantic comedy. A schemer under his cheery facade, he makes the best of this unexpected turn of events with a new plan: get Sun-chan to fall for either Cosmos or Himawari and take the other as his own prize. But Jouro's last-ditch effort is threatened by the gloomy, four-eyed Sumireko ""Pansy"" Sanshokuin, who surprises Jouro with not only her knowledge of his secret personality but also a confession to the true self he hid for all this time.

Stuck in this hilariously messy situation, each of the five students must navigate countless lies, traps, and misunderstandings to come out on top.

[Written by MAL Rewrite]"
38524,Attack on Titan Season 3 Part 2,Yes,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]"
38528,Full-Time Magister 3rd Season,Yes,"After the crisis brought forth by the Black Order, Bo City's surviving residents desert the place. With nearby cities providing shelter to the displaced refugees, Mo Fan and his family accept the offer and travel to Mingzhu City, the capital of magic. Mo Fan has little time to settle in when his teacher Tang Yue requests him to assist her with an investigation involving the Black Order. However, Mo Fan agrees only on the condition of having a dark element awakened in him.

As he steadily attunes to his newfound powers, Mo Fan prepares to enroll at Mingzhu University, a dream place for all magicians. Along the way, Mo Fan's interactions with the elements steadily surpass his expectations, showing him that this is only the beginning of discoveries within his limitless potential.

[Written by MAL Rewrite]"
38529,Chidori RSC,Yes,"Rifle-shooting sports are competitive activities testing accuracy and precision using a rifle. In Japan, carrying firearms is prohibited, so most of the participants are members of the defense force. When the use of rifles using a light beam instead of real bullets as ammunition became common, rifle-shooting competitions became accessible to the younger population, giving way to school contests.

First-year high school student and marksmanship enthusiast Hikari Kokura has just transferred to Chidori High School. She tries to join the club of her choice, but finds out that the club no longer exists due to the low popularity of the sport. Distraught, she tries to restore the club and somehow manages to recruit three other members: her childhood friend Izumi Shibusawa, the half-Russian Erika Meinohama, and the stoic Yukio Igarashi.

This marks the beginning of the Chidori Rifle-Shooting Club, who have only one goal—to compete on the national stage!

[Written by MAL Rewrite]"
38533,Fox Spirit Matchmaker 7th Season,Yes,The 7th season of Huyao Xiao Hongniang.
38534,Blazing Teens 3,Yes,"is a Chinese multi-media franchise created to sell yoyo toys to children.  is the first animated season in the franchise but the 3rd story chronologically.

The show focuses on competitive schools that hold yo-yo contests. Each team has their own issues that they solve. Each yoyo has a name that reflects the toy's design. The show makes use of minor special effects in order to portray magic/spirit/chi and the speed of the yoyo. These ""magic spells"" are ""battling"" and the person whose ""magic"" remains, wins. 

(Source: Wiki)"
38544,The Price of Smiles,Yes,"On a world far removed from the Earth, there is a certain kingdom that's brimming with smiles. Fate thrusts young Princess Yuki, filled with idealism, joy, and innocence, into a station in life for which her most endearing qualities are ill-matched. Her kingdom faces grave danger as the Empire threatens the realm's security. Meanwhile, on the opposite side of the conflict, an imperial soldier known as Stella Shining hides behind a facade. However, a time may come where her mask cracks, potentially costing her everything. Princess Yuki and Stella's paths will cross, and the fate of nations will follow.

(Source: Sentai Filmworks)"
38555,My Next Life as a Villainess: All Routes Lead to Doom!,Yes,"Most people would prefer being the protagonist of a world full of adventure, be it in a game or in another world. But, unfortunately, a certain girl is not so lucky. Regaining the memories of her past life, she realizes that she was reborn in the world of Fortune Lover—one of the games she used to play.

Unfortunately, the character she was reincarnated into—Catarina Claes—is the game's main antagonist, who faces utter doom in every ending. Using her extensive knowledge of the game, she takes it upon herself to escape from the chains of this accursed destiny.

However, this will not be an easy feat, especially since she needs to be cautious as to not set off death flags that may speed up the impending doom she is trying to avoid. Even so, to make a change that will affect the lives of everyone around her, she strives—not as the heroine—but as the villainess.

[Written by MAL Rewrite]"
38572,,No,"On the brink of extinction, mankind has downsized and now solely resides in the city-state of Flandore, living in cities encased by glass domes. Beyond the domes exist vicious lycanthropes who thrive in the darkness; among the citizens inside, a clear distinction between the nobility and commoners is in place. The blood of nobles enables them to utilize mana, granting them abilities that exceed human limits and greatly assist them in defeating lycanthropes.

Already 13 years of age, noble Melida Angel has yet to manifest her mana, and attends an elite academy where she is mistreated for her lack thereof. In order to help her, Kufa Vampir is ordered by the Angel family to become Melida's tutor. While Kufa seems to be a mere mentor, an ulterior motive lurks behind his job—he is to assassinate her if he confirms that she does not possess mana.

Kufa's investigation eventually leads him to determine he must eliminate Melida. However, Kufa is struck by her unwavering determination, spirit, and belief in herself when he witnesses her in a fight, choosing instead to offer a way she can manifest her magic. As Melida learns to use mana with the help of Kufa's teachings, Kufa forsakes his mission and jeopardizes everything to keep his discovery of Melida unknown to the Angel family and his own guild. However, both Kufa and Melida will soon realize that hiding their secret will not be the only challenge they face, as unforeseen trouble is waiting just around the corner. 

[Written by MAL Rewrite]"
38573,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Yes,"Forming a party with one's mother in an online game seems not only unlikely but also uncomfortable to most teenage gamers. 

Unfortunately, Masato Oosuki finds himself in that exact scenario. After completing a seemingly meaningless survey, he is thrown into the world of a fantasy MMORPG—and his mother Mamako actually tagged along with him! On top of all of that, Mamako turns out to be an overpowered swordswoman, possessing the power of two-hit multi-target attacks! After minor tension between the two, they search for party members, meeting the merchant Porta and the sage Wise, starting their journey to clear the game.

[Written by MAL Rewrite]"
38578,Star☆Twinkle Pretty Cure,Yes,"Hikaru Hoshina is an energetic middle school student with a love for space and the occult. As she draws constellations in her notebook, a small and fluffy creature suddenly appears from it! The creature, which she names Fuwa, turns out to be an alien with the ability to create warp holes. 

When Fuwa's companions, the aliens Lala Hagoromo and Prunce, arrive on Earth, they declare that they are searching for the Precure, legendary warriors who will save the universe. But an organization known as the Notraiders soon follows and attacks, intending to capture Fuwa and its power. Overcome by a desire to protect Fuwa, Hikaru finds herself transforming into ""Cure Star,"" one of the Precure that Lala and the others have been searching for!

It is now up to Hikaru and the rest to fend off the Notraiders' onslaught, discover the rest of the Precure, and find the Star Color Pens, artifacts that will awaken the 12 Star Princess who keep the universe in balance.

[Written by MAL Rewrite]"
38594,Ride Your Wave,Yes,"Entranced by surfing and the sea, Hinako Mukaimizu is a spirited girl who attends college in a coastal city with no consideration for her future career. Her life takes an unexpected turn when a fireworks mishap sets the apartment building she lives in ablaze, where she is saved by a talented firefighter named Minato Hinageshi. Upon meeting, the two quickly become acquainted with one another—Hinako is instantly enamored by Minato's reliable personality and passion for saving others, while Minato is intrigued by surfing and is eager to learn how. As Hinako begins to teach Minato about surfing, the pair eventually fall in love and begin a gentle and devoted relationship.

However, while surfing may seem fun and carefree, it can still be a dangerous and unpredictable activity. This is what Hinako learns when a surfing incident completely changes her life, leaving her forced to contemplate her undecided future. In search of her own calling, Hinako begins her journey of self-discovery, keeping Minato by her side as she gradually attempts to find her purpose and ride her own wave.

[Written by MAL Rewrite]"
38603,,No,"NHN PlayArt and Nico Nico's  [COMbat Providence AnalysiS System] smartphone game has been inspiring a series shorts in which TMS Entertainment is overseeing the production, but different staff members and studios are participating in the project. Each short highlights a different hero from the game. The shorts are posted to 's official YouTube channel.

(Source: ANN)"
38619,Wasteful Days of High School Girls,Yes,"As she heads off to her entrance ceremony at Sainotama Girls' High School, Akane Kikuchi muses over her grade school dream of becoming a manga artist and the lack of progress that she has made. When she finally arrives at school, she is surprised to learn that she is once again in the same class as her two best friends: the deadpan and emotionless Shiori Saginomiya and the hyperactive and ridiculous Nozomu Tanaka. Tanaka then comes to the obvious realization that she can't achieve her grade school dream of being popular with the boys and getting a boyfriend by going to an all-girls high school.

In desperation, she begins asking the girls in her class to introduce her to their guy friends. Her classmates, however, are anything but ordinary. From a grandmother-loving loli to a reclusive chuunibyou to an overly analytical stalker, each one is given a fitting nickname by Tanaka to accentuate their weirdness. And so begin the wasteful days of these high school girls, each day kicked off with a simple question: ""Hey, wanna hear something amazing?""

[Written by MAL Rewrite]"
38628,,No,"Now there's a mysterious Mask before James Blood, and the man behind it is one that shouldn't exist. What is the mystery surrounding this mask...? So begins an action-packed crime story set in a beautiful city!"
38653,,No,A special anime featuring Goku and Freeza screened at the Tokyo Skytree.
38656,,No,"High school student Kaname Sudou receives an invitation from a classmate to play Darwin's Game, a mobile game he has never heard of. However, as soon as he opens the application, a green snake suddenly pops out from his phone screen and bites his neck, leaving him unconscious. Waking up in the infirmary without any signs of a snake bite, he is told by the school to take the rest of the day off. Although he is puzzled by what has happened, he dismisses the surreal experience as a hallucination and boards the train home.

Unfortunately, his curiosity gets the better of him and he uses the application once again. As the application appears to be just like any other battle game, Kaname breathes out a sigh of relief and decides to start his first match. However, the pleasant surprise is short-lived, as his in-game opponent unexpectedly appears right in front of him and attempts to hunt him down with a knife.

As he desperately runs for his life, Kaname puts two and two together and realizes that Darwin's Game is not an ordinary game, but rather, it's a brutal fight for survival.

[Written by MAL Rewrite]"
38659,Cautious Hero: The Hero Is Overpowered but Overly Cautious,Yes,"There is a popular saying: ""you can never be too careful."" It is very important to prepare for every situation you may face, even if it seems like an unnecessary waste of time. Also, in games like RPGs, it is good to exceed the level of your enemies to achieve total victory.

These words describe Seiya Ryuuguuin a little too perfectly. After being summoned by the goddess Ristarte to save the world of Gaeabrande from destruction, the hero prepares himself for his noble journey. While this might be normal, he spends a very long time training himself, despite having overpowered stats. He fights weak enemies using his strongest skills and buys excessive amounts of supplies and potions—all to stay safe.

While his attitude may be a bit annoying, it might just be the saving grace of Gaeabrande, especially considering that it is a world where the forces of evil dominate each and every expectation.

[Written by MAL Rewrite]"
38663,Cagaster of an Insect Cage,Yes,"In a near future, an illness called ""Cagaster"" made ​​its appearance. It turns humans into insects. The story begins 30 years after the onset of the illness, in 2125. It follows the adventures of Kidou, a boy who fights insects.

(Source: MAL News)"
38664,FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,Yes,"In an age when gods walk alongside mankind, the world of Eos finds itself falling into darkness. Calamity befalls the human race when malevolent creatures known as ""daemons"" scourge the land and obliterate armies with seemingly unstoppable brute force. In these dire times, nobles of House Caelum rise to prominence. Owing to their god-given healing powers, which allow them to purge the plague spread by the monsters, they earn the people's trust and allegiance.

With no leader to rule the first human kingdom and guide the masses, the gods fervently seek to fill this vacancy—a man of the Caelum bloodline seems to be a desirable choice. The ambitious and charismatic pragmatist, Somnus Lucis Caelum, is pit against his humble and altruistic brother, Ardyn Lucis Caelum, in competition for the throne. As tensions rise between the rivals and anticipations surge, the fate of the world rests upon one of the two's decisive victory.

[Written by MAL Rewrite]"
38668,,No,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.

Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Caiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.

[Written by MAL Rewrite]"
38669,,No,"Six Gravity and Procellarum, Tsukino Talent Productions' best male idol groups, are preparing for this year's edition of the Full Moon Festival. The show's theme is ""a new self,"" which seems to excite all the members. Some of the members from both units struggle to find inspiration for the theme, having matured from their last festival appearance. As they continue their daily lives while juggling their show business responsibilities, each of the Six Gravity and Procellarum members discover the meaning of ""a new self.""

[Written by MAL Rewrite]"
38670,,No,"Tensho School is located in the 7th Ward of Thrive Central, where emphasis is put on extracurricular activities and all clubs participate in an annual fall singing contest. Having to delay the start of his school year due to his older sister's hospitalization, transfer student Saku Otonomiya finds himself struggling to adapt to his hectic new life. Balancing his part-time job and caring for his sister, he finds it difficult to make time to join a school club.

In preparation for the upcoming singing contest, the school's singing club wishes to use Sousuke Kagura's song ""Cloudy Days,"" but Kagura is reluctant to grant his permission. The song requires someone with a three-octave range to sing it and he believes that only a VOCALOID can meet the standards. He allows for the club to use his song on the condition that they can find someone who possesses that vocal range to properly sing it.

While racking his brain over the composition of his next song, Kagura stumbles upon Otonomiya singing ""Cloudy Days"" perfectly. He invites Otonomiya to form a unit with him for the competition. At the same time, the singing club tries to goad him into joining so they can use Kagura's song. As the contest inches closer, Otonomiya must overcome his uncertainty and decide who to team up with.

[Written by MAL Rewrite]"
38671,Fire Force,Yes,"Spontaneous Human Combustion: a chaotic phenomenon that has plagued humanity for years, randomly transforming ordinary people into flaming, violent creatures known as Infernals. While Infernals make up the first-generation accounts of Human Combustion, the second and third generations became known as pyrokinetics—people gifted with the ability to manipulate and control their flames while remaining human. To combat the Infernal threat and discover the cause, the Tokyo Armed Forces, Fire Defense Agency, and Holy Church of Sol produced their answer: the Special Fire Force.

Young and eager third-generation pyrokinetic Shinra Kusakabe, nicknamed Devil's Footprints for his explosive ability to ignite his feet at will, becomes a member of the lively Special Fire Force Company 8. Upholding the brigade's duty to extinguish the blazing Infernals and lay their souls to rest, Shinra is determined to become a hero who will save the lives of those threatened by the flame terror.

However, this is not the hero's game Shinra imagined. The Fire Force is a fractured mess of feuding brigades, abnormal Infernal sightings are increasing all over Tokyo, and a shadowy group is claiming to have answers to the strange fire that caused the death of Shinra's family 12 years ago. Faced with many obstacles within and outside the Fire Force, Shinra fights to uncover the truth behind the burning mysteries that have kept him in the dark.

[Written by MAL Rewrite]"
38673,Katana Maidens: Mini Toji,Yes,"Do the girls' daily lives include fighting and not fighting? All characters from the TV animated series  and smartphone game  are gathered together in smaller form!

(Source: Crunchyroll, edited)"
38677,How to Steal 55 Kisses 4th Season,Yes,No synopsis information has been added to this title. Help improve our database by adding a synopsis .
38678,,No,"Soka city's 60th anniversary commemorative animation.

Souta was born in Soka but has worked and lived in Tokyo until recently. He's engaged to Miki and decides to return to Soka to look for a new home where the two will live together. While house hunting, he encounters a mysterious bird and begins to chase after it. He then meets a woman named Akiko who time-slipped to the future. Souta shows her around the city and she reflects on how much has changed and her future as she too is engaged.

(Source: AniDB & ANN)"
38680,,No,"Tooru Honda has always been fascinated by the story of the Chinese zodiac that her beloved mother told her as a child. However, a sudden family tragedy changes her life, and subsequent circumstances leave her all alone. Tooru is now forced to live in a tent, but little does she know that her temporary home resides on the private property of the esteemed Souma family. Stumbling upon their home one day, she encounters Shigure, an older Souma cousin, and Yuki, the ""prince"" of her school. Tooru explains that she lives nearby, but the Soumas eventually discover her well-kept secret of being homeless when they see her walking back to her tent one night.

Things start to look up for Tooru as they kindly offer to take her in after hearing about her situation. But soon after, she is caught up in a fight between Yuki and his hot-tempered cousin, Kyou. While trying to stop them, she learns that the Souma family has a well-kept secret of their own: whenever they are hugged by a member of the opposite sex, they transform into the animals of the Chinese zodiac.

With this new revelation, Tooru will find that living with the Soumas is an unexpected adventure filled with laughter and romance.

[Written by MAL Rewrite]"
38690,Beyond the Ocean,Yes,"When the emperor patrols the ocean, Crown Prince Jianwen witnesses a shocking scene: Admiral Zheng, whom he has been treating as both his teacher and a dear friend, suddenly kills the emperor. He is devastated when he finds out he is being framed by the imperial court for killing his own father in an attempted coup. Admiral Zheng accepts the order of Prince Regent Yan to return to Quanzhou and seize Jianwen. Jianwen sees through their plan and sets foot on an escape journey. At the time, all the forces inside and outside the imperial court were eager to move. How can Admiral Zheng continue to protect Jianwen, whose misunderstanding about him only deepens, and investigate the truth about the late emperor being enchanted?

(Source: iQIYI)"
38691,,No,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone.

Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified.

However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown.

[Written by MAL Rewrite]"
38699,My Hero Academia: Two Heroes Specials,Yes,"Episode 1 is based on one-shot manga released in Vol. Origin, it explores the back-story of All Might's past and his journey into becoming the No.1 hero.

Episode 2 is an epilogue picture drama for Boku no Hero Academia the Movie: Futari no Hero.

Short specials included with the Blu-ray/DVD release of"
38707,,No,"Ever since they encountered aliens on the moon, humanity's technology has developed by leaps and bounds. Half a century later, even though most have it easy, Robby Yaji and Hacchi Kita cannot seem to catch a break in this advanced society. Robby—a man perpetually struck by misfortune—owes large sums of money to debt collectors due to his poor investments in shady get-rich-quick schemes, and Hacchi finds it difficult to get over the boredom of his mundane life.

The two end up on an adventure of a lifetime when loan shark boss Yang sends Hacchi to collect the money Robby owes. Rather than pay up, Robby blasts off into space and heads to Isekandar, a planet that supposedly brings happiness to anyone who visits. Seeing a chance for some much needed excitement, Hacchi tags along with Robby on this journey filled with alien encounters, giant robot battles, and all sorts of troublemaking—all the while avoiding Yang and his cronies who are desperately combing the universe to find them.

[Written by MAL Rewrite]"
38710,,No,"1.  (Love Made Me Escape from Prison/The Terrifying Battle of Deadly Poison! A Massive Snake Deep in the Hokkaido Wilderness!)
2. 
3."
